NDVI,NDBI,B6,B7,Emissivity,LST_Label
0.23904802,-0.03537487,16443.0,12141.0,0.9737,37.65567
0.45250973,-0.24559928,13907.0,10384.0,0.96779996,23.388824
0.14308421,0.008957363,18304.0,14935.0,0.96989995,38.223053
0.19819717,-0.094254784,13093.0,10856.0,0.98039997,31.769806
0.24229075,-0.08010302,13930.0,11493.0,0.98149997,36.401245
0.18974142,-0.06153788,12406.0,10870.0,0.968,27.514374
0.12692732,0.054521985,18790.0,16341.0,0.9702,45.588898
0.19810085,-0.013180484,17819.0,13390.0,0.9672,41.20697
0.20610051,-0.07219755,13789.0,11545.0,0.95849997,32.559387
0.19462173,0.00620414,16867.0,13765.0,0.9684,40.205475
0.3173819,-0.13610302,14088.0,11432.0,0.98179996,36.5448
0.18641213,-0.008772453,16610.0,13333.0,0.9783,38.957916
0.31756926,-0.15394641,11684.0,9308.0,0.9859,27.596405
0.25639942,-0.035270154,17998.0,13707.0,0.97749996,39.969635
0.46203098,-0.28151307,12802.0,9604.0,0.9662,31.838165
0.28429157,-0.09034562,13502.0,10768.0,0.9844,33.089172
0.20738828,-0.02660186,18625.0,14602.0,0.96019995,40.017487
0.26981965,-0.12427253,12339.0,9790.0,0.9844,30.58377
0.18839908,-0.0047405763,15221.0,12060.0,0.9684,30.498322
0.14156656,-0.11994156,9036.0,8283.0,0.9791,31.909943
0.13317877,0.035165958,14159.0,12676.0,0.96209997,34.18979
0.2109272,-0.07723986,19270.0,14059.0,0.9694,35.09897
0.09364228,-0.12520935,8880.0,8336.0,0.99039996,31.927032
0.3091985,-0.116192624,13315.0,10526.0,0.9848,31.383575
0.3287588,-0.18051168,16736.0,12517.0,0.9798,33.622406
0.3471154,-0.20719491,11041.0,8953.0,0.98569995,29.57547
0.14941691,0.025367307,18250.0,14084.0,0.9744,38.370026
0.33434847,-0.15943371,12706.0,10424.0,0.98469996,34.10092
0.32931185,-0.118487835,15110.0,11620.0,0.9835,32.545715
0.26572385,-0.07415124,15776.0,12883.0,0.983,35.488617
0.20489952,-0.021880275,15065.0,12165.0,0.9809,39.528717
0.3689732,-0.18064709,13675.0,10454.0,0.96449995,30.864044
0.13687555,0.055465933,17992.0,15880.0,0.9658,47.308136
0.20997043,-0.0046238718,15607.0,12942.0,0.9648,41.080505
0.15743028,0.013554851,18058.0,14176.0,0.9738,47.25003
0.18848148,-0.021316152,15266.0,12807.0,0.9788,38.957916
0.3797711,-0.19815531,13475.0,10344.0,0.9859,29.370392
0.15072878,0.08764445,20141.0,15150.0,0.9747,50.51425
0.18112601,0.06063486,19530.0,14239.0,0.9809,43.66452
0.21494327,0.03327032,21864.0,16802.0,0.9715,43.459442
0.24338645,-0.03998677,14513.0,11779.0,0.9823,31.991974
0.2178348,-0.047421157,20630.0,15083.0,0.95919997,43.039032
0.16300237,0.06509926,19797.0,14817.0,0.9758,50.288666
0.23432273,-0.037699718,16081.0,12005.0,0.9684,37.378815
0.22738886,-0.042987406,18734.0,14368.0,0.9704,36.89685
0.39264977,-0.23644924,12812.0,10510.0,0.96559995,33.266937
0.1122048,-0.025500355,14388.0,13066.0,0.973,44.549805
0.14239742,0.04398564,16282.0,13454.0,0.9662,46.016144
0.19731447,-0.040040705,12263.0,10347.0,0.97179997,34.046234
0.35850695,-0.16767584,14502.0,10993.0,0.9845,36.76355
0.3485041,-0.13779657,14482.0,11451.0,0.9851,33.085754
0.3390044,-0.11595724,15587.0,11953.0,0.9842,36.20981
0.07200685,0.09643643,15184.0,14144.0,0.97609997,49.058167
0.15952496,0.02464535,16360.0,13324.0,0.9691,40.83441
0.15950397,0.015309186,20294.0,15603.0,0.97249997,44.669434
0.2341976,-0.05284167,14474.0,11263.0,0.9643,39.901276
0.06570671,0.06275202,15945.0,14904.0,0.965,49.611908
0.06980112,-0.10775265,7734.0,7575.0,0.99039996,30.7034
0.39295825,-0.20798428,13709.0,10504.0,0.9848,29.770294
0.15463105,-0.028773766,15223.0,13754.0,0.9687,43.182587
0.12459547,0.11363347,21830.0,18575.0,0.97679996,41.654755
0.17176422,-0.10372679,14093.0,12257.0,0.9791,43.838837
0.13526295,0.04214966,20633.0,15551.0,0.96919996,42.62204
0.31225097,-0.1355401,13789.0,10674.0,0.9737,33.369476
0.37493047,-0.22337003,12555.0,10124.0,0.986,28.744873
0.20168148,0.023316467,19618.0,15967.0,0.97279996,40.034576
0.25473619,-0.13447045,12001.0,9964.0,0.96999997,25.29953
0.10072766,-0.059708755,14496.0,12450.0,0.97679996,31.181915
0.37949556,-0.1878572,15276.0,11241.0,0.97389996,38.657135
0.16369566,0.056925062,17193.0,14464.0,0.979,39.64151
0.43537697,-0.25885558,12240.0,9383.0,0.9686,30.80252
